Repository,Description
Razmoth/CNStudio,Modded AssetStudio for CN unity games
danheron/Heron.MudCalendar,Calendar component for MudBlazor
dantmnf/MHC2,information about next generation color management in Windows
nefarius/Legacinator,The one and only Legacinator
AvaloniaUI/AvaloniaMauiHybrid,"Brings templated controls, pixel perfect rendering, animations, styling and composition to Maui"
Apress/pro-c-sharp-10,Source Code for 'Pro C# 10 with .NET 6' by Andrew Troelsen and Phil Japikse
cornflourblue/dotnet-6-jwt-refresh-tokens-api,.NET 6.0 - JWT Authentication with Refresh Tokens Tutorial with Example API
NotionTheory/unity-sweeper,A simple clean-up tool to remove unused assets from Unity.
davidfowl/Roslyn.Reflection,Reflection APIs over roslyn symbol APIs
Luct0r/KerberOPSEC,OPSEC safe Kerberoasting in C#
Matthew-J-Spencer/Unity-AutoSave,Auto save your scene at a set interval. 
RikunjSindhwad/MSSQL-Attacker,MSSQL Database Attacker tool
eiriktsarpalis/PolyType,Practical generic programming for .NET
xiaoye97/DinkumChinese,Dinkum汉化
Editise/Editise,"This tiny CMS is .NET C# Blazor based, very fast, does not need a database and content comes directly from Word Docx documents"
GavinLonDigital/ShopOnlineSolution,"ShopOnlineSolution is part of a Blazor Shopping Cart Application video tutorial demonstrated on YouTube at this location, https://youtu.be/3_AsedRrqww?list=PL4LFuHwItvKbdK-ogNsOx2X58hHGeQm8c"
mysteryx93/HanumanInstitute.MvvmDialogs,Library simplifying the concept of opening dialogs from a view model when using MVVM
cube0x0/LdapSignCheck,Beacon Object File & C# project to check LDAP signing
DrummerSi/TaskSeparator11,Software to allow users to separate the icons on their Windows 11 taskbar.
UIWidgets/com.unity.uiwidgets,UIWidgets framework
Sicos1977/TesseractOCR,A .net library to work with Google's Tesseract
jensroth-git/WinLaunch,macOS Launchpad for Windows
andrewlock/asp-dot-net-core-in-action-3e,"Source code examples for ASP.NET Core in Action, Third Edition"
sunija-dev/aiimages,A Unity UI and easy installer for Stable Diffusion.
crossous/SocoTools,Crossous's unity tools，currently contains shader variant stripper tools
ArakawaHenri/EnergyStarX,Throttle background programs automatically.
muak/AiForms.Maui.SettingsView,SettingsView for .NET MAUI
DotNetNext/ReZero,🔥🔥🔥 rezero.api 全网唯一免费的在线运行时创建API接口的项目，并且生成接口文档，真正的运时行创建【 低代码 】【 运时建表 】【 运时创建接口 】【 热插拔 】【 超级API 】【 云ORM框架 】
shalzuth/LostArkLogger,Lost Ark DPS Meter
dosxuz/DefenderStop,Stop Defender Service using C# via Token Impersonation
davidfowl/YarpTunnelDemo,YARP demo showing how tunneling can be implemented over websockets
LegoFigure11/RaidCrawler,Raid Viewer for Pokémon Scarlet and Violet
jfmaes/AmsiHooker,Hookers are cooler than patches.
xpnas/yopngs,"纯粹图床,支持鉴黄,支持压缩,支持本地存储,COS存储,OSS存储,B2存储"
Penecruz/VAICOMPRO-Community,VAICOM PRO for DCS World
cdanek/KaimiraWeightedList,A generic collection for selecting random elements by weight in O(1) in C#
AKGWSB/CasualPRT,Precomputed Radiance Transfer Global Illumination in Unity URP
meziantou/Meziantou.Xunit.ParallelTestFramework,Run xUnit test cases in parallel
googlecreativelab/balloon-pop,A multiplayer geospatial experience
derekbanas/C-Sharp-Course,Here is the code for my C# Mega Course. It is broken into 18 different folders. This is basically a Free Full Udemy Course. I hope you find it useful.
KevinDockx/CSharp10DesignPatterns,Fully functioning sample code for my C#10 Design Patterns course
natecurtiss/mirage,A small 2D C# game engine I made in about 24 hours.
plackyhacker/SandboxDefender,C# code to Sandbox Defender (and most probably other AV/EDRs).
stratosblue/IntelliSenseLocalizer,a tool for generate .net Localized IntelliSense files. 用于生成本地化 .net IntelliSense文件的工具。
henpemaz/Rain-Meadow,Rain World multiplayer engine and custom game mode
136512892/SKFramework,Unity SKFramework开发框架
Matthew-J-Spencer/Unity-Netcode-Starter,A project aimed at teaching you the basics of Unity Netcode
Scighost/WinUI3Keng,WinUI 3 踩坑记
ironmansoftware/terminal-gui-designer,A terminal GUI designer for PowerShell.
a820715049/BiliBiliLive,极简式 Unity 获取 bilibili 直播弹幕、SC、上舰、礼物等插件
naweed/MauiScientificCalculator,Scientific Calculator built using #dotnetmaui
ardalis/WebApiBestPractices,Resources related to my Pluralsight course on this topic.
guojin-yan/OpenVINO-CSharp-API,OpenVINO wrapper for .NET.
tmds/build-image,Containerize .NET apps without writing Dockerfiles.
naweed/Maui.Controls.BottomSheet,Bottom Sheet control built using .Net Maui
GlossMod/UnityScriptTrainer,一些unity游戏的内置修改器
Kneesnap/onstream-data-recovery,A repository detailing data recovery of OnStream tapes.
oculus-samples/Unity-AssetStreaming,Oculus asset streaming showcase demonstrating how to use asset streaming when navigating open world project while using different level of details. This sample also demonstrates how to use the Unity Addressables system. The Oculus SDK and other supporting material is subject to the Oculus proprietary license.
BorisTheBrave/sylves,C# Grid Library
matthewrenze/clean-architecture-core,"A sample app for my online course ""Clean Architecture: Patterns, Practices, and Principles"" in .NET Core"
cornflourblue/dotnet-6-signup-verification-api,".NET 6.0 - Boilerplate API with Email Sign Up, Verification, Authentication & Forgot Password"
Matthew-J-Spencer/Pathfinding,Related to this video: https://www.youtube.com/watch?v=i0x5fj4PqP4
netwrix/PingCastleCloud,Audit program for AzureAD
TheMulhima/Lumafly,A cross platform mod manager for Hollow Knight written in Avalonia.  
sql-bi/Contoso-Data-Generator,Custom Contoso database generator and ready-to-use Contoso sample databases for SQL Server
loresoft/Injectio,Source generator that helps register attribute marked services in the dependency injection ServiceCollection
nref/BrowseRouter,"In Windows, launch a different browser depending on the url"
FluentValidation/FluentValidation.AspNetCore,ASP.NET Core Integration for FluentValidation
mandiant/route-sixty-sink,Link sources to sinks in C# applications.
STBBRD/ZongziTEK-Blackboard-Sticker,用于白板一体机的桌面部件，有小黑板（布置作业）、启动台、课程表
cube0x0/ParallelSyscalls,C# version of MDSec's ParallelSyscalls
GuillaumeMrNiato/PS5-Devkit-Testkit-Console-Manager, A simple console manager for PS5 devkit/testkit 
bohops/DynamicDotNet,A collection of various and sundry code snippets that leverage .NET dynamic tradecraft
MartinIngesen/TokenStomp,C# implementation of the token privilege removal flaw discovered by @GabrielLandau/Elastic
Semperis/GoldenGMSA,GolenGMSA tool for working with GMSA passwords
jasontaylordev/RapidConsole,"A project for creating a command-line application that can run on .NET on Windows, Linux and macOS with support for commands, dependency injection, logging, and a whole lot more."
luotengyuan/MyMapTools,"由于工作中经常和地图、GPS坐标转换、GPS轨迹查看等内容相关，经常要借助一些在线网站和工具来查看地图和位置等，在一次偶然的机会中了解到一个[GMap.NET](https://github.com/radioman/greatmaps)开源的桌面地图库和基于GMap.NET实现的[MapDownloader](https://github.com/luxiaoxun/MapDownloader)地图下载工具，于是也想实现一个自己的地图相关工具，包含以下功能：  - 多种地图切换：Baidu(百度), Amap(高德), Tencent(腾讯), Tianditu(天地图), Ship, Google, Bing, OpenStreetMap, ArcGIS, Here(Nokia)等；  - 坐标拾取和坐标转换：GPS(WGS84)、火星坐标(GCJ02)、百度坐标(BD09)等相互转换，地理编码和反地理编码等；   - POI查询：通过百度地图、高德地图、腾讯地图等WebAPI搜索、保存POI数据；  - 地图下载、拼接：通过矩形、多边形、行政区划等方式下载、缓存地图数据或者拼接成大图；  - 导航路线搜索、导出：通过百度地图、高德地图、腾讯地图等WebAPI搜索、保存导航路线数据；  - 历史轨迹加载、回放：加载不同格式(csv/excel/nmea)轨迹数据，并可以回放、测试等；  - 实时轨迹显示：通过串口接收GPS信息显示在地图上；"
keijiro/SimplePostEffects,Simple post effects for Unity URP using Shader Graph
rrmanzano/maui-bindableproperty-generator,Source generator that automatically transforms fields into BindableProperties that can be used in MAUI
junkai-li/NetCoreKevin,基于NET6搭建跨平台DDD-微服务-WebApi架构支持：IDS4单点登录、多缓存、自动任务、分布式、多租户、日志、授权和鉴权、CAP集成事件、SignalR、领域事件、单元测试
Nordgaren/Elden-Ring-Debug-Tool,Debug tool for Elden Ring modding
AxionDrak/GameCube-Backup-Manager,GameCube Backup Manager - a software to convert ISO files to Nintendont format. 
nilaoda/N_m3u8DL-CLI-SimpleG,N_m3u8DL-CLI's simple GUI
RoyTheunissen/Asset-Palette,"Allows you to quickly organize assets for certain workflows, such as organizing prefabs for level design."
madskristensen/RainbowBraces,A Visual Studio extension
DamianEdwards/BlazorIdentity,An exploration of recreating the ASP.NET Core Identity UI functionality in Blazor components.
microsoft/dev-tunnels-ssh,SSH library for dev-tunnels
aianlinb/LibGGPK3,Library for Content.ggpk of game PathOfExile (Rewrite of LibGGPK2)
benvillalobos/msbuildism,MSBuild is complicated. Let's lift the veil on it.
provencher/OpenXR_XRI_Sample,Showcase for new XRI features
markjprice/apps-services-net8,"Repository for the Packt Publishing book titled ""Apps and Services with .NET 8"" by Mark J. Price"
CSharpDesignPro/WPF---Responsive-UI-Design,WPF - Responsive UI Design
keijiro/CharacterRigTest,Procedural walk animation with Animation Rigging
oculus-samples/Unity-SharedSpatialAnchors,"Unity-SharedSpatialAnchors was built to demonstrate how to use the Shared Spatial Anchors API, available in the Meta XR Core SDK for the Unity game engine. "
Bardent/Weapon-System-Tutorial-Series-Unity,The files for each part of the Weapon System Tutorial Series on YouTube
keijiro/StickShow,Unity sample: GPU instancing with RenderMeshInstanced
JDArmy/SharpSpray,域内密码喷射工具
BIGBOSS-dedsec/OpenCV-Unity-To-Build-3DPerson,Use OpenCV image capture with the powerful Mediapipe library to achieve human movement detection and recognition; The recognition results are synchronized to Unity in real time to realize the recognition of the character model's moving body structure in Unity
buck-co/PocketGarden,A Unity example using the Google Geospatial API
Unity-China/cn.unity.hairfx.core,Unity HairFX is a strands based hair system (TressFX based Framework)
UnityTechnologies/HDRP-Defender-Character-Demo,"TressFX Hair plugin (Beta), Character Package, and Hairstyles assets for HDRP"
MontagueM/Charm,Destiny 2 reverse engineering tool for extracting cool things from game files.
microsoft/durabletask-dotnet,Out-of-process .NET SDK for the Durable Task Framework
sa-es-ir/DotNet.RateLimit,A Distributed RateLimit for Controller-Actions and Minimal API.
kevingosse/Silhouette,A library to build .NET profilers in .NET
Matthew-J-Spencer/Unity-Matchmaking,"An example project utilizing lobby, relay and netcode"
4RTools/4RTools,"Autopot, Skill Spammer, Dancer Macro and more"
ddm999/ClubmanSharp,"Replacement for Clubman+ AHK script, written from scratch in C#"
IeuanWalker/Maui.Breadcrumb,This is a breadcrumb navigation control that is completely automatic and uses the Navigation stack and page titles to generate the breadcrumbs. It's also 100% accessible by default..
dingxiaowei/MonitorTool,Unity性能监控软件
taurusxin/Ofd2Pdf,Convert OFD files to PDF files.
davidfowl/WebApplicationPlugins,A sample plugin model for ASP.NET Core applications
PITR-DEV/ukbutt-mod,An Official ULTRAKILL Mod that adds buttplug.io support.
PinoyWH1Z/AoratosWin,A tool that removes traces of executed applications on Windows OS. 
mrpmorris/Morris.Moxy,Moxy - Mixins code generator for C#
xpn/WAMBam,Tooling related to the WAM Bam - Recovering Web Tokens From Office blog post
oculus-samples/Unity-UltimateGloveBall,"Meta Quest ESport Showcase demonstrating multiplayer functionalities in Unity. Including Oculus Social APIs, Avatars, Oculus Platform authentication, Oculus Multiplayer APIs, Photon Realtime, Photon Voice with Oculus Spatializer, and In-app purchases."
retropassdev/RetroPass,Retro Pass is a simple frontend for emulators running on Xbox.
1582421598/Il2CppDumper-Genshin,Modified version of Il2CppDumper allows you to dump methods of UserAssembly.dll of the game Genshin Impact.
linkdotnet/BlogExamples,Contains all of my examples from various blog posts
CyberSys/CreamInstaller,"Automatically finds all installed Steam games and their respective Steamworks DLL locations on the user's computer, automatically parses SteamCMD and the Steam Store for those games' DLCs, then provides a very simple graphical interface utilizing the gathered information. The primary function of the program is to automatically generate and install CreamAPI for whichever games and DLCs the user selects, however through the use of the right-click context menu the user can also: automatically repair the Paradox Launcher, open the parsed SteamCMD AppInfo in Notepad, refresh the parsed SteamCMD AppInfo, open Root directories or Steamworks DLL directories in Explorer, or open SteamDB/Steam Store/Steam Community links in the default browser."
TheFlyingFoool/DuckGameRebuilt,"Duck Game decompiled & rebuilt with some added features, "
1357310795/TodoSync,基于 GitHub Actions 的定时任务，将 Canvas LMS 的作业、测验、公告、讨论、全局通知同步到 Microsoft Todo
TeamStepping/Stepping.NET,"Stepping is a distributed BASE jobs implementation. You can use it as a workflow engine, event outbox/inbox, email/SMS sender, remote invoker, and more."
AmusementClub/OKP,One-Key-Publish，一键发布Torrent到常见BT站。
Zerbu/Mod-Constructor-5,The Sims 4 Mod Constructor is a downloadable program that allows users to create mods for The Sims 4 in a user-friendly environment. Version 5 is easier to use than ever!
Elem8100/WzComparerR2-Plus,MapleStory online Extractor   WzComparerR2繁體中文版  
KLab/wsnet2,モバイルオンラインゲーム向けのリアルタイム通信システム
hansschmucker/NVStreamer1080,Utility to automatically detect NVidia GameStream activity and set a fitting resolution or switch to a second screen.
idexus/Sharp.UI,C# Code Markup Library for .NET MAUI: UI Development with Fluent Methods and Hot Reload (VS Code and VS2022)
cjmanca/plex-credits-detect,"Augments plex's built in intro detection, additionally detecting credits."
dymaptic/GeoBlazor,Core Components for the Dymaptic GeoBlazor Library
AliBharwani/Drecon,Drecon implementation
dj-nitehawk/MiniDevTo,"Source code of the Dev.To article ""Building REST APIs In .Net 8 The Easy Way!"""
ardalis/Ardalis.SharedKernel,"Some useful base classes, mainly used with the CleanArchitecture template. Also, a template to make your own SharedKernel nuget package."
shinyorg/templates,dotnet CLI & Visual Studio Templates
sakiodre/FiddlerMomoPlugin,Fiddler plugin hỗ trợ giải mã traffic của app Momo
Jadekylin/UnitySkipSplash,Skip Unity Splash Screen only one script.
qian-o/MediaWPF,WPF 视频硬解码渲染Demo
cornflourblue/dotnet-6-registration-login-api,".NET 6.0 API for User Management, Authentication and Registration"
HollowaySean/BlackHoleViz_v2,Black Hole Visualizer in Unity C#
SagaciousG/ETPlugins,插件集合
InCerryGit/FasterKvCache,FasterKv.Cache is an in-process hybrid cache library (memory+disk) based on the Microsoft FasterKv.
liulei901112/TextLocator,基于.net实现的本地文档的全文索引定位器，根据关键词搜索定位本地文档内容。便于查找历史文档时节省时间，本地文本搜索神器！
YingFengTingYu/PopStudio_Old,A project to convert many kinds of files used in PopCap Games.
yasirkula/UnityMobileLocalizedAppTitle,Localize your Unity app's name and/or icon on Android & iOS
BeatLeader/beatleader-mod,BeatLeader mod for PC Beat Saber
YUXUAN888/FSM3,FSMLauncher!
LeahLee13/UnityCameraSystem_CC,基于Cinemachine的第一/三人称过肩/自由/斜45度/俯视角摄像机系统（本摄像机系统基于Cinemachine的Virtual Camara实现，实现了锁定、旋转、缩放、移动、鼠标显示/隐藏、摄像机位置复位、限制摄像机角度、动态挂载跟随目标、切换视角、遮挡透视等功能，并自带摄像机碰撞，防止穿墙）
Wilson403/MVI4Unity,基于MVI架构为Unity设计的UI框架 （不管你是使用UGUI，NGUI或者其它，MVI4Unity都可以适用）
Xeio/WanderLost,Lost Ark Wandering Merchant Tracker
Fcakiroglu16/UdemyNLayerApp,Udemy | AspNet Core Web/API+Çok Katmanlı Mimari-Best Practices-Net6
CodAffection/Expense-Tracker-App-in-Asp.Net-Core-MVC,Expense Tracker App in Asp.Net Core MVC
hry2566/SWD4CS,SWD4CS : Simple WinForms Designer for CSharp (VSCode)
madewokherd/xalia,Service adding gamepad UI to traditional desktop applications
willlogs/unity-optimized-grass,Optimized 3D grass for unity that works on Mobile. OpenGL 3.5+
MitchMakesThings/Godot-Things,Collection of tutorials and mini-projects
huntercfreeman/Blazor.Text.Editor,"A repository for the nuget package titled, ""Blazor.Text.Editor"""
0xthirteen/AssemblyHunter,Find .net assemblies locally
Wilson403/Html2UnityRich,能够将Html标签转化为Unity支持的富文本标签（UGUI or TextPro）
Mewnojs/PlantsVsZombies.NET,"A port of Plants vs. Zombies Windows Phone version to various platforms, powered by MonoGame"
136512892/AvatarClothes,Unity 人物换装系统解决方案
SECFORCE/SharpWhispers,C# porting of SysWhispers2. It uses SharpASM to find the code caves for executing the system call stub.
he55/ScreenshotEx,一个简单易用的 Windows 截屏增强工具
hai-vr/lightbox-viewer,Lightbox Viewer lets you simultaneously visualize changes in shader material settings under different lighting conditions.
Wra7h/ARCInject,Overwrite a process's recovery callback and execute with WER
PacktPublishing/ASP.NET-Core-6-and-Angular,"ASP.NET-Core-6-and-Angular, published by Packt"
dr4k0nia/MurkyStrings,"A string obfuscator for .NET apps, built to evade static string analysis."
Fewes/VertexColorBaker,"A tiny vertex color baker for Unity that runs on the GPU, implemented as an AssetPostprocessor"
satial-interfaces/CalendarControl,CalendarControl is a calendar control (week view) for Avalonia. See and run the sample app to get to know it.
lsunky/SkillEditorDemo,基于unitytimeline的一个技能编辑器，支持调试，运行。
KevinDockx/SecuringAspNetCore6WithOAuth2AndOIDC,Fully functioning finished sample code for my Securing ASP.NET Core 6 with OAuth2 and OpenID Connect course
babalae/genshin-achievement-toy,🏆原神成就识别，快速查找未完成的隐藏成就
killfrenzy96/KillFrenzyAvatarText,Avatar Text Shader and Animations designed to be used by OSC
tyeom/WPFKakaoTalk,카카오톡PC 버전 WPF Clone
Zoroiscrying/Unity_Shader_Library_Zoroiscrying,"This is a shader library used for unity shader coding, pointing to different shader effects found from various sources. Several library topics may become public in the future. This project is mainly for personal study and lack the knowledge of code management and formal name formatting."
whateep/unity-simple-URP-pixelation,Custom renderer feature to pixelate the screen
kwizatz88/GsyncSwitch,"Simple and light Windows App to switch G-Sync, HDR on/off, Vsync, Frame limiter, resolutions/frequencies, monitors with one click in taskbar"
cornflourblue/dotnet-6-crud-api,.NET 6.0 - CRUD API Example
ceramicskate0/SharpExchange,C# Tool to interact with MS Exchange based on MS docs
tuyoogame/huatuo_trial,huatuo trial project
JonPSmith/Net.DistributedFileStoreCache,NET distributed cache using a json file as the shared resourse with very fast Get
GlowPuff/ImperialCommander2,A companion app for the Imperial Assault board game.
milvus-io/milvus-sdk-csharp,C# SDK for Milvus.
unitycoder/UnityInvokeAI,simple Unity editor UI for calling InvokeAI (stable diffusion) web interface (locally)
SolidAlloy/UnityDropdown,A better dropdown window for Unity Editor
LITTOMA/NetSpeedCat,Display right net speed at the right position on Windows 11.
nickvangilder/most-average-c2-ever,The most average C2 ever (MACE)
BartMartner/OpenARNF,Public Source Code from A Robot Named Fight
ivilson/Yolov7net,Yolo Detector for .Net 8
unity3d-jp/BoidComputeShader,Boid implementation using Compute Shader
Phantomxm2021/PicoMRTK3,Compatible with Pico 4 devices
nilaoda/DoViMuxer,Tool to make Dolby Vison mp4.
densen2014/Blazor100,Blazor入门100天
MicrosoftDocs/ef-core-for-beginners,Project for Entity Framework Core for Beginners video series
xenesty/AkashaScanner,"A Genshin Impact tool to export achievements, characters, artifacts, and weapons."
rubberduck-vba/Rubberduck3,COM add-in for the VBIDE
mlcsec/SharpSQL,Simple C# implementation of PowerUpSQL
hassanelsherbiny/PowerStore,Power Store - Multi-Store E-Commerce Platform
ObjectManagerManager/SMAPIDedicatedServerMod,"Dedicated (headless) server mod for Stardew Valley, powered by SMAPI. Turns the host into an automated bot."
development-fennecx/AdvancedInputField,This plugin provides a more Advanced Input Field that has a lot more features and properties than the official Unity InputField.
AK478BB/Sigpatches,大气层签名补丁Sigpatches
Aetsu/Neton,Neton is a tool for getting information from Internet connected sandboxes 
Harsha-Global/CS-web-university-harsha,C# Ultimate Guide by Web University
PacktPublishing/Parallel-Programming-and-Concurrency-with-C-sharp-10-and-.NET-6,Parallel Programming and Concurrency with C#10 and .NET6 published by packt
Hrober0/Cable-physics,"Wires with real physics in Unity, simulating bend, move, and interact naturally. They can be manipulated dynamically, responding to forces, collisions, and player interactions"
malaohu/RunAsDate,类型于 RunAsDate 软件，C#实现代码
JinShil/BlazorWebView,A WebKitGtk WebView for running Blazor Hybrid applications.
matt-goldman/MauiCleanTodos,"Clean Architecture with ASP.NET Core, .NET MAUI and Blazor"
nimbleways/dotnet-subset,"A .NET tool that copies a subset of files from a repository to a directory. The tool is mainly used in Dockerfiles to optimize the docker build caching for ""dotnet restore"" instructions."
suchmememanyskill/steam-deck-addons,A collection of random scripts i've made for the deck
hai-vr/blendshape-viewer,This repo has 3 projects: 🟡 Blendshape Viewer lets you visually browse blendshapes. 🔵 Animation Viewer lets you preview animations in the Project view browser. ⚪ Visual Expressions Editor lets you edit face expression animations.
chickensoft-games/GoDotTest,"C# test runner for Godot. Run tests from the command line, collect code coverage, and debug tests."
widavies/WinJump,Jump to Nth virtual desktop shortcut for Windows
crisprss/net_memory_webshell,用来存放平时写的一些net内存马，仅用于练手，需要可以自行修改
SunnyValleyStudio/Unity-2D-Context-steering-AI,How to implement context steering behaviours for a 2D top down Unity game
506638093/spine-optimize,optimize unity spine
analgesicproductions/sephonie-controllers,Sephonie player/camera controller
henduck/MAUINewsApp,News App Made for .NET MAUI Beautiful UI Challenge
microsoft/msstore-cli,Microsoft Store CLI
Varneon/VUdon-Udonity,WIP Runtime Unity Editor made with Udon for editing VRChat worlds in game
Cysharp/GrpcWebSocketBridge,"Yet Another gRPC over HTTP/1 using WebSocket implementation, primarily targets .NET platform."
rrazgriz/RATS,Harmony-based Unity Editor QOL
Sycamore0/GrasscutterTool-3.0.5,如果您不相信我，请您检查代码后自行编译。
awslabs/aws-dotnet-messaging,"An AWS-native framework that simplifies the development of .NET message processing applications that use AWS services, such as SQS, SNS, and EventBridge."
aren227/unity-fluid-simulation,Real-time sph fluid simulation in unity.
sbasu7241/HellsGate,Rewrote HellsGate in C# for fun and learning
GaoRenBao/OpenCv4-Demo,OpenCv4 Demo C#/C++/Python 三合一
BruceQiu1996/NChatGPTRev,ChatGPT C# SDK. Lightweight package for interacting with ChatGPT's API by OpenAI. Uses reverse engineered official API. ChatGPT 聊天机器人 .net 版. 开箱即用.
VRLabs/Final-IK-Stub,Stub package for the VRChat-whitelisted Final IK components.
0xsp-SRD/callback_injection-Csharp,this repo is to cover the other undocumented or published / in different langaue to achieve shellcode injection via windows callback functions 
davidbritch/dotnet-maui-videoplayer,A video player implementation for .NET MAUI
KrisIsBackAU/Oculus-VR-Dash-Manager,Oculus VR Dash Manager
berichan/SysBot.PokemonScarletViolet,A trade bot for Pokemon Scarlet/Violet
OSSDC/OSSDC-SIM,OSSDC SIM - Self Driving Car Simulator based of LGSVL
newtron-vania/Undead_Survivor-Vampire_Survivor-copy-practice,Make Vampire-Survivor with Unity
MassTransit/Sample-Outbox,Shows how to use the new transactional outbox
mkitto/fsll,A Simplified Chinese localization patch for Fallout Shelter pc.
khalidabuhakmeh/EntityFrameworkCoreMultiTenancy,EF Core and Minimal API sample for multi-tenancy example using global filters
mistletoeKANO/fuxi,unity assetbundle 资源管理工具
AKGWSB/RealTimeAtmosphere,real-time atmosphere rendering in Unity URP
Penumbra-Sync/client,Mare Synchronos Dalamud Plugin
MapStudioProject/Track-Studio,"A powerful MK8 map editor for creating and editing track models, objects, paths and animations."
kyungjae-nexon/xlsxmerge,엑셀 문서를 비교 및 머지할 수 있는 도구인 XlsxMerge 입니다. 여러 개의 워크시트 비교 및 3-way merge를 지원합니다.
InitRoot/wodat,Windows Oracle Database Attack Toolkit
madskristensen/SolutionColors,A Visual Studio extension
jackie2009/unityRVTTerrain,a runtime virtural texture terrain for unity 5.6
keijiro/Metawire,Unity primitive mesh generator as an asset importer (for wireframe primitives)
UkrainianBanderasCat/Digital-Logic-Sim2,"If you want to update Digital Logic Sim, so you can download this, update and commit"
RJCodeAdvance/ModernLoginUI-WPF,Modern and Flat Login Form with WPF and C#
hartmark/minimal-api-sample,Sample on how to structure minimal APIs that got introduced in .NET 6
klezVirus/SharpLdapRelayScan,C# Port of LdapRelayScan
Bonjour-Interactive-Lab/Unity3D-VATUtils,Extension of VAT shader form sideFX houdini with various utils for Unity
Vanilla-Expanded/VanillaExpandedFramework,Vanilla Expanded Framework for RimWorld
jborean93/PSDetour,Windows Detour Hooking in PowerShell
NewLifeX/NewLife.XCode,数据中间件，支持MySQL、SQLite、SqlServer、Oracle、Postgresql、TDengine、达梦，重点在缓存、性能、分表、自动建表。
straw-git/WPFStyles,WPF中比较特殊的窗体、页面样式动画收集，持续更新...
needle-tools/animation-utils,"This package contains some utilities that help working with Unity's Timeline and Animation tools, for example drag & drop to fix ⚠ missing clip bindings"
Karmaz95/evasion,AV EVASION TECHNIQUES
doctorseus/grpc-dotnet-unity,Custom HttpClientHandler to enable grpc-dotnet client in Unity via HTTP2.
datsfain/EditorCools,Unity Editor Tools 
4meame/MelodyRenderPipeline,A simple forward render pipeline for graphics study.
WaGi-Coding/OpenXR-Runtime-Switcher,OpenXR Runtime-Switcher for Windows
dotnet/eShop,A reference .NET application implementing an eCommerce site
keijiro/AICommand,ChatGPT integration with Unity Editor
Cysharp/R3,The new future of dotnet/reactive and UniRx.
SebLague/Chess-Challenge,Create your own tiny chess bot!
UnrealSharp/UnrealSharp,"UnrealSharp is a plugin to Unreal Engine 5, which enables developers to create games using C# (.NET 9) with Hot Reload"
RazTools/Studio,Modded AssetStudio with new features
misprit7/WireHead,A Terraria mod that reimplements the wiring system much more efficiently
Cysharp/SimdLinq,Drop-in replacement of LINQ aggregation operations extremely faster with SIMD.
SebLague/Fluid-Sim,A simple particle-based fluid simulation
CCob/ThreadlessInject,Threadless Process Injection using remote function hooking. 
spark-dotnet/framework,"Build production ready, full-stack web applications fast without sweating the small stuff."
0xb11a1/yetAnotherObfuscator,C# obfuscator that bypass windows defender
lisongkun/HyggeImaotai,"i茅台app接口自动化csharp wpf实现,挂机windows服务器每日自动预约,  (╯°□°）╯︵ ┻━┻ 预约启动！"
jxlpzqc/TMSpeech,腾讯会议摸鱼工具
SteveSandersonMS/DotNetIsolator,A library for running isolated .NET runtimes inside .NET
PKBeam/AMWin-RP,A Discord Rich Presence client for Apple Music's native Windows app.
keijiro/UnityMLStableDiffusion,Core ML Stable Diffusion on Unity
VedalAI/neuro-amongus,Among Us Plugin for Neuro-sama
microsoft/node-api-dotnet,Advanced interoperability between .NET and JavaScript in the same process.
Dec0ne/DavRelayUp,DavRelayUp - a universal no-fix local privilege escalation in domain-joined windows workstations where LDAP signing is not enforced (the default settings).
BC-SECURITY/Moriarty,"Moriarty is designed to enumerate missing KBs, detect various vulnerabilities, and suggest potential exploits for Privilege Escalation in Windows environments. "
squiggythings/WaveTracker,A free and open source music-making software for Windows. Uses wavetable synthesis and sampling to generate sounds.
Unity-Technologies/Megacity-2019,"Megacity is a sample showcasing streaming a large scale environment. It also contains an action-packed, multiplayer shooter mode. It leverages the power of Netcode for Entities for an immersive, multiplayer experience that can support 64+ players simultaneously."
keijiro/SplatVFX,3D Gaussian Splatting with Unity VFX Graph
microsoft/teams-ai,SDK focused on building AI based applications and extensions for Microsoft Teams and other Bot Framework channels
theRealUnd3rdog/Godot_Noshot_Controller,NOSHOT First Person Controller
hjam40/Camera.MAUI,"A CameraView Control for preview, take photos and control the camera options"
xksoft/OcrHelper,桌面图像实时转文字工具
SimonCropp/WinDebloat,A dotnet tool that removes the bloat in Windows
danbaidong1111/DanbaidongRP,ToonRenderPipeline Unity6 RayTracing
NoBugCn/ActionEditor,unity技能编辑器，Buff编辑器，场景编辑器
mastercodeon314/KsDumper-11,A revival of the classic and legendary KsDumper
differentrain/Delapp,A simple tool to delete files or folders in Windows
adammyhre/Unity-Utils,Extension Methods and Utils for Unity Game Dev
MixedRealityToolkit/MixedRealityToolkit-Unity,This repository holds the third generation of the Mixed Reality Toolkit for Unity. The latest version of the MRTK can be found here.
GarrettGunnell/Water,Sum of sines and fft fluid simulation with a physically based water shader
pylorak/TinyWall,"TinyWall is a free, non-intrusive, secure-by-default firewall for Windows."
simonoliver/UnityFigmaBridge,"Easily bring your Figma Documents, Components, Assets and Prototypes to Unity"
falseeeeeeeeee/ShaderLibrary,希望开源能够帮到所有人
