Repository,Description
dr4k0nia/NixImports,net malware loader using apihashing evade static analysis
GarrettGunnell/CS2-Smoke-Grenades,recreation cs2s responsive smoke grenades unity
whuanle/maomi,maomi maomi
Azure-Samples/eShopOnAzure,variant uses azure services
PowerShell/AIShell,interactive work aipowered assistance providers
Fractural/GDTask,asyncawait functionality godot
GarrettGunnell/Shell-Texturing,volumetric rendering fur
OrgEleCho/CurvaLauncher,simple light fast desktop launcher
elsa-workflows/elsa-studio,modular extensible dashboard application framework
exploits-forsale/themebleed,proofofconcept cve202338146 themebleed
rOzzy1987/MacroPad,replacement configuration software chinese macropad keyboards
Elem8100/MapleNecrocer,maplestory client emulator
lele8/SharpDBeaver,dbeaver
Guillemsc/GTweensGodot,csharp tweening library godot 4x
BennyKok/unity-tailwindcss,style unity uitoolkit ui elements tailwind css syntax extra helper fonts icons loading
guojin-yan/YoloDeployCsharp,deploying yolov8det yolov8pose yolov8cls yolov8seg models based c programming language
CalamityTeam/CalamityModPublic,public mirror latest official release calamity mod
oculus-samples/Unity-CrypticCabinet,cryptic cabinet short mixed reality mr experience meta quest headsets demonstrate possibilities mr gameplay narrative aesthetics app adapts room big small create unique experience everyone
androidseb25/iGotify-Notification-Assistent,docker container sending gotify notifications ios devices bridge gotify websocket
Lixkote/Startify,custom start menu windows eleven extras
MrOkiDoki/BattleBit-Community-Server-API,serverclient community servers api
ZHANGTIANYAO1/TS3AudioBot-NetEaseCloudmusic-plugin,csharpts3audiobotts
Azure/Vector-Search-AI-Assistant,microsoft official build modern ai apps reference solutions content demonstrate build copilot applications incorporate hero azure services including azure openai service azure container apps aks azure cosmos db nosql vector search
kevingosse/GummyCat,tool visualize activity net garbage collector
YOLOP0wn/EchoDrv,exploitation echodriversys
sorabug/ChangeTimestamp,exedll
Cysharp/Utf8StringInterpolation,successor zstring utf8 based zero allocation highpeformance string interpolation stringbuilder
ValemVR/VR-Game-Jam-Template,starter project using unity xr toolkit created vr jam two thousand twentythree
zmrid/iMES-Factory,imes netcore31vue3mesexcel
npolyak/NP.Ava.UniDock,new avalonia eleven unidock repository
Anthogonyst/UnityToGodot,open source initiative fully convert unity projects godot projects
csdjk/LcL-Tools-Unity,unity tools
ipSlav/DirtyCLR,app domain manager injection dll poc steroids
schneidermanuel/TwitchLeecher-Dx,twitch leecher dx broadcast downloader
huggingface/sharp-transformers,unity plugin using transformers models unity
chromealex/ME.BECS,bursted entity component system
Qolors/FeedCord,dead simple rss feed discord webhooks
davidfowl/IdentityEndpointsSample,sample showing setup aspnet core identity api endpoints authentication
oculus-samples/Unity-StarterSamples,repository brings multiple samples help explore features bring project
sqrtZeroKnowledge/CVE-2023-23397_EXPLOIT_0DAY,exploit cve202323397
ph4nt0mbyt3/Darkside,csharp avedr killer using lessknown driver byovd
S3cur3Th1sSh1t/SharpVeeamDecryptor,decrypt veeam database passwords
JDDKCN/KCN_ArknightsServer,ark gui
yurkinh/Plugin.Maui.Calendar,net maui port xf calendar plugin
pgvector/pgvector-dotnet,pgvector support net csharp f visual basic
mihakrajnc/UITTimeline,support animating ui toolkit elements timeline
landv/LuYao.Toolkit,luyaotoolkit
mabangde/SharpGetUserLoginIPRPC,
BlendLog/MinerSearch,program designed search kill silent miners
abmarnie/godot-architecture-organization-advice,advice architecting organizing godot projects
rippod/apate,
cpu0x00/SharpReflectivePEInjection,reflectively load execute pes locally remotely bypassing edr hooks
MaaXYZ/MBA,ba
sunsvip/PSD2UGUI_X,convert psd file ugui prefab text image raw image button slider scroll view dropdown toggle textmeshpro
sswi/AcrylicView.MAUI,net mauiwindowsandroidiosmacosacrylicview supportedwindowsandroidiosmac
zkhssb/NectarRCON,wpfrcon
whateverusername0/VRTRAKILL,ultrakill vr support mod
Lakatrazz/BONELAB-Fusion,multiplayer mod bonelab
mertdas/SharpIncrease,tool aims evade av binary padding
kaze-mio/UnityGenshinPostProcessing,genshinlike post processing render feature based urp
shibbo/Fushigi,editor super mario bros wonder
Adminxe/FileHunter,
EXIT-SUIT/EXIT-SUIT,exit suit fullbody forcefeedback navigation performance suit virtual reality
ividyon/WitchyBND,unpacksrepacks fromsoftware archive formats serializes fromsoftware data formats
Skyrim07/SKCell,comprehensive systems framework unity
hupo376787/WeiboAlbumDownloader,csharplivephoto
AnnulusGames/LucidEditor,powerful editor extensions unity
hillday/AIRAgentChat,ai virtual character project renders ar combines multimodal large models implemented unity ar foundation
prosthetichead/GarlicPress,garlicpress companion application rg35xx running garlicos main aim application never require remove sdcards device
SethRobinson/GPTAvatar,3d ai virtual chatbot made unity uses apis whisper gpt4 elevenlabs speech
TylerBrinks/SqlParser-cs,friendly sql parser net
matthewrdev/UnityUaal.Maui,embedding unity game engine net maui
Alex-Dobrynin/Controls.UserDialogs.Maui,updated version acruserdialogs supports latest version net ability style diloags want
daffyyyy/CS2-SimpleAdmin,manage counterstrike two server simple commands
juldhais/CleanArchitecture,clean architecture asp net core web api
callanh/pathos-official,official repository pathos content modules
mertdas/SharpLateral,lateral movement
JitHubApp/JitHubV2,github winui client
LauraWebdev/Godot4-DeployToSteamOS,godot plugin integrating direct deployment workflow steamos
SunnyValleyStudio/Grid-Placement-System-Unity-2022,create grid placement system unity two thousand twentytwo
SebLague/Tiny-Chess-Bot-Challenge-Results,results tiny chess bot challenge
Dean2k/SARS,cleaned sars project
2DIPW/audio_dataset_screener,auxiliary tool manual screening audio dataset
TCKingCeryn/Darktide-40K-Unity-FullBody-FPS-Controller,completely refactored open source full body fps controller inspired darktide dishonored dark messiah uses two armatures layer generic armsonly fps animations without losing fullbody animations underneath
NordSecurity/uniffi-bindgen-cs,csharp bindings generator uniffirs
FritzAndFriends/TagzApp,application discovers content social media hashtags
anjoy8/BCVP.Net8,aspnet80
Richasy/RichasyAssistant,
keijiro/ECS-Strawman,simplest unity ecsdots example
Alexander-T-Moss/Small-Area-Flow-Comp,slicer script modify extrusion flow proportionally extrusion length
awgil/ffxiv_visland,island sanctuary automation
saul/demofile-net,blazing fast crossplatform demo parser library counterstrike two valves deadlock written csharp
ezzylearning/CleanArchitectureDemo,building aspnet core apps clean architecture demo project blog post available
MoonsideGames/MoonWorks,free crossplatform game development framework
chaniBenziman/Employee--management-app,employee management system enables management tracking employee data within company
shishkabob27/CardWarsKingdom,port adventure time card wars kingdom mobile game pc
overwolf/jar-infection-scanner,scan jar files known infections
Matthew-J-Spencer/Tarodev,assortment unity utilities
MrScautHD/Sparkle,fast crossplatform net eight csharp twelve game engine
dkheng/PvZ-Unity,unitypvz
lilxyzw/lilAvatarUtils,utilities avatar modification
hzy-6/hzy-admin,webapi scheduled05
zxxyye/UnityAstcGpuEncoder,encode astc texture pixel shader
Unity-Technologies/mr-example-meta-openxr,mixed reality example project featuring integration openxr xr interaction toolkit xr hands ar foundation metaopenxr package project allow creators quickly get running mixed reality games apps using meta quest two quest pro quest three devices
Kudayasu/Artifice,xbox one developer mode privilege escalation
qdrant/qdrant-dotnet,qdrant net sdk
Drenayo/UnityGameSamples,unity
AKGWSB/FFTConvolutionBloom,bloom using fft accelerate convolution unity urp
AnnulusGames/LucidRandom,enhanced random number generator unity
PacktPublishing/Software-Architecture-with-C-Sharp-12-and-.NET-8-4E,code repository software architecture net eight fourth edition published packt
Azure-Samples/communication-services-AI-customer-service-sample,sample app customer support center running azure using azure communication services azure openai text voice bots
creazyboyone/FastGithub,fastgithub github github releases gitclonegitpullgitpush
sfewer-r7/CVE-2023-27532,exploit cve202327532 veeam backup replication
sunwm518/VMProtect-3-5-DEvirt,vmprotect vmp devirter thirtyfive
0neAtSec/SharpDomainInfo,dump
MisakaCirno/QQGroupRescueTool,qq
JonasJakobi/SM64-Quest-3,super mario sixtyfour running natively quest three interacting real world environment
Azure/Vector-Search-AI-Assistant-MongoDBvCore,microsoft official build modernize ai apps reference solution content implementing rag pattern solutions using vector search azure cosmos db mongodb vcore ai assistant user experience
wellshrcn/GameToysTool,thirty
simonoliver/InputSystemActionPrompts,automatically set controller prompts text icons unity game ui
MMMaellon/SmartObjectSync,deprecated dropin replacement vrcobjectsync allows better syncing objects vrchat
theron-wang/VS2022-Editor-Support-for-Tailwind-CSS,unofficial vs2022 tailwind css extension intellisense linting sorting enhance development experience visual studio two thousand twentytwo
MichalStrehovsky/uefimaze,baremetal bootable graphical maze game csharp
NovaUI-Unity/AppleXRConcept,source code nova apple xr concept video
adospace/mauireactor-samples,demo apps built using mauireactor
MammaMiaDev/avaloniaui-the-series,codebase avalonia series youtube
little-fort/booster-bot,bot could hypothetically used farm boosters deck marvel snap
oculus-samples/Unity-MoveFast,oculus interaction sdk showcase demonstrating use interaction sdk unity hand tracking fitnessstyle app project contains code assets used move fast demo available app lab oculus sdk supporting material subject oculus proprietary license
Mfarooq360/WinThumbsPreloader-V2,winthumbspreloader powerful open source tool quickly preloading thumbnails windows explorer
KaylinOwO/Project-Apparatus,lethal company cheat based infinite company
1694439208/Avalonia_BluePrint,avalonia avalonia node editor imitate unreal engine blueprint avalonia
ReinaS-64892/TexTransTool,nondestructive modification texture
leap71/LEAP71_ShapeKernel,framework building complex computational geometry based picogk
Mutagen-Modding/Spriggit,tool facilitate converting bethesda plugin files text based format stored git
sam-ludlow/mame-ao,run mame easily automatic download setup files github bittorrent archiveorg fly
RedAsteroid/FFXIV_Triggers,triggernometry splatoon
new-frontiers-14/frontier-station-14,multiplayer game paranoia chaos space station remake cultclassic space station thirteen
dusrdev/Sharpify,collection high performance language extensions csharp
drasticactions/FishyFlip,fishyflip net atprotocolbluesky library
jimdroberts/FishMMO,fishnetworking mmo template
KeyserDSoze/Rystem.OpenAi,net wrapper openai dependency injection integration factory integration may inject one endpoint azure integration may swap among openai endpoint azure endpoint quickly easily calculate tokens cost request request response assistant integration available
leiurayer/downkyi,downkyi8khdr
BluePointLilac/ContextMenuManager,windows
microsoft/reverse-proxy,toolkit developing highperformance http reverse proxy applications
Kyome22/RunCat_for_windows,cute running cat animation windows taskbar
dotnet/tye,tye tool makes developing testing deploying microservices distributed applications easier project tye includes local orchestrator make developing microservices easier ability deploy microservices kubernetes minimal configuration
VeriorPies/ParrelSync,unity3d test multiplayer without building
dremin/RetroBar,classic windows ninetyfive ninetyeight two thousand xp vista taskbar modern versions windows
microsoft/onefuzz,selfhosted fuzzingasaservice platform
1y0n/AV_Evasion_Tool,
Unity-Technologies/Graphics,unity graphics including scriptable render pipeline
FreyaHolmer/Mathfs,expanded math functionality unity
MicrosoftLearning/AZ-204-DevelopingSolutionsforMicrosoftAzure,az204 developing solutions microsoft azure
SnaffCon/Snaffler,tool pentesters help find delicious candy l0ss sh3r4 twitter mikeloss sh3r4hax
n00mkrad/cupscale,image upscaling gui based esrgan
microsoft/CsWin32,source generator add userdefined set win32 pinvoke methods supporting types csharp project
Cysharp/ZString,zero allocation stringbuilder net unity
RawAccelOfficial/rawaccel,kernel mode mouse accel
openbullet/OpenBullet2,openbullet reinvented
atmosgames/SuperSimple2DKit,simple kit meant help jump start creation 2d unity game
CCob/SweetPotato,local service system privilege escalation windows seven windows ten server two thousand nineteen
microsoft/CodeXGLUE,codexglue
dotnet-architecture/eShopOnDapr,sample net distributed application based eshoponcontainers powered dapr
SteamAutoCracks/Steam-auto-crack,steam game automatic cracker
Richasy/BiliBili-UWP,bilibiliuwp
digital-standard/ThreeDPoseUnityBarracuda,unity sample 3d pose estimation using barracuda
Almantask/CSharp-From-Zero-To-Hero,csharp boot camp
xiaoyaocz/biliuwp-lite,uwp lite
Cysharp/ZLogger,zero allocation textstructured logger net stringinterpolation source generator built top microsoftextensionslogging
Unity-Technologies/uGUI,source code unity ui system
SebLague/Solar-System,simple solar system experiment
RythmStick/AMSITrigger,hunt malicious strings
CCob/SharpBlock,method bypassing edrs active projection dlls preventing entry point exection
Maassoft/ColorControl,easily change nvidia display settings andor control lg tvs
OfficeDev/Microsoft-Teams-Samples,welcome microsoft teams samples repository find taskfocused samples csharp javascript typescript help get started microsoft teams app
davidfowl/Todos,various todo list backend api implementations
0xthirteen/SharpRDP,remote desktop protocol net console application authenticated command execution
dotnet/crank,benchmarking infrastructure applications
b4rtik/SharpKatz,porting mimikatz sekurlsalogonpasswords sekurlsaekeys lsadumpdcsync commands
EngTW/English-for-Programmers,
rogerfar/rdt-client,realdebrid client proxy
Apr4h/CobaltStrikeScan,scan files process memory cobaltstrike beacons parse configuration
Unity-Technologies/ProjectAuditor,project auditor experimental static analysis tool unity projects
Flangvik/BetterSafetyKatz,fork safetykatz dynamically fetches latest precompiled release mimikatz directly gentilkiwi github repo runtime patches signatures uses sharpsploit dinvoke peload memory
samhogan/Minecraft-Unity3D,basic minecraft clone made unity twentyfour hours
SteveSandersonMS/CarChecker,sample blazor webassembly application includes authentication inbrowser data storage offline support localization responsive layouts video walkthrough see link
Flangvik/NetLoader,loads csharp binary mem patching amsi etw
SebLague/Portals,portals unity
gus33000/UUPMediaCreator,utility create windows media files iso wim vhd unified update platform files
zmjack/PortProxyGUI,manager netsh interface portproxy evaluate tcpip port redirect windows
Unity-Technologies/com.unity.demoteam.hair,integrated solution authoring importing simulating rendering strandbased hair unity
Flangvik/SharpDllProxy,retrieves exported functions legitimate dll generates proxy dll source codetemplate dll proxy loading sideloading
EasyAbp/AbpHelper.GUI,providing code generation features help develop applications modules abp framework
microsoft/infersharp,infer interprocedural scalable static code analyzer csharp via capabilities facebooks infer tool detects null dereferences resource leaks threadsafety violations also performs taint flow tracking detect critical security vulnerabilities like sql injections
dotnet/csharpstandard,working space ecmatc49tg2 csharp standard committee
FuzzySecurity/StandIn,standin small net3545 ad postexploitation toolkit
uknowsec/SweetPotato,modifying sweetpotato support load shellcode webshell
TheWover/DInvoke,dynamically invoke arbitrary unmanaged code managed code without pinvoke
Coldairarrow/EFCore.Sharding,database sharding efcore
sblom/RegExtract,clean simple idiomatic csharp regexbased line parser emits strongly typed results
Primer-Learning/PrimerToolsUnity,tool used producing primer youtube videos
fuluteam/fulusso,reactaspnet core
PwnDexter/SharpEDRChecker,checks running processes process metadata dlls loaded current process dlls metadata common install directories installed services service binaries metadata installed drivers drivers metadata presence known defensive products avs edrs logging tools
gasgiant/FFT-Ocean,fft ocean unity
fifty-six/Scarab,installer hollow knight mods written avalonia
csharpfritz/csharp_with_csharpfritz,show notes slides samples csharp csharpfritz show
0xthirteen/MoveKit,cobalt strike kit lateral movement
gmhevinci/MotionFramework,motionframework unity3d game framework
MichalStrehovsky/SeeSharpSnake,selfcontained csharp game eight kb
PxGame/XMLib.AM,xmlib
ipud2/Unity-Basic-Shader,unity basic shader
G0ldenGunSec/SharpSecDump,net port remote sam lsa secrets dumping functionality impackets secretsdumppy
yangzhongke/Zack.EFCore.Batch,deleting updating multiple records linq query sql statement without loading entities
gasgiant/Aircraft-Physics,fixed wing aircraft physics unity
Kink3d/kMirrors,planar reflections unitys universal render pipeline
WolfgangOfner/MicroserviceDemo,demo two asp net six microservices using rabbitmq docker
bleroy/lunr-core,port lunrjs net core
SDchao/AutoVsCEnv_WPF,simple tool configure ccpp vscode automatically
ankenyr/jellyfin-youtube-metadata-plugin,youtube metadata plugin jellyfin
lyuma/Av3Emulator,emulator vrchats avatars thirty system built unity playablegraph api
Hzllaga/ShellcodeLoader,shellcodersaexe
michaelweber/Macrome,excel macro document readerwriter red teamers analysts
cnblogs/fluss,fluss blog engine powered net
roubachof/Sharpnado.MaterialFrame,modern maui xf frame component supporting blur acrylic dark mode implemented realtimeblurview android custom blurview uivisualeffectview ios
Unity-Technologies/arfoundation-demos,ar foundation demo projects
DaniDevy/FPS_Movement_Rigidbody,physics based movement system
Goobwabber/MultiplayerExtensions,beat saber mod expands multiplayer functionality
Cysharp/ProcessX,simplify call external process async streams csharp eighty
ChilliCream/graphql-workshop,getting started graphql aspnet core hot chocolate workshop
ProfessorJTJ/HISuite-Proxy,modifying hisuite manipulating connection data install roms officially get released
plackyhacker/Shellcode-Encryptor,simple code encryptordecryptorexecutor bypass anti virus
bohops/SharpRDPHijack,proofofconcept remote desktop rdp session hijack utility
MythicAgents/Apollo,net framework forty windows agent
0xthirteen/SharpStay,net project installing persistence
YukiCoco/YukiDrive,onedrive sharepoint
n00mkrad/nmkoder,media encoding muxing analysis toolkit windows
Collective-Software/ClickPaste,windows ten notification area app csharp paste clipboard contents keystrokes whatever location click
google/play-unity-plugins,google play plugins unity provide csharp apis accessing various play services
BoyanTata/AP01,ata
ultranijia/EmbyCrack,emby
Azure/azure-functions-dotnet-worker,azure functions outofprocess net language worker
Heart-Sky/ListRDPConnections,csharp rdp
sebastienros/parlot,fast lightweight parser creation tools
andyvorld/LGSTrayBattery,tray app used track battery levels wireless logitech mouse
SkyChenSky/Sikiro,capskyapmwebapiclientchloe
AaronRobinsonMSFT/DNNE,prototype native exports net assembly
anjoy8/Student.Achieve.Manager,netcore thirtyone vue eleuistar100
microsoft/SmartKG,project accepts excel files input contains description knowledge graph vertexes edges convert inmemory graph store project implements apis searchfilterget nodes relations inmemory knowledge graph project also provides dialog management framework enable chatbot based knowledge graph
r3nhat/GRAT2,developed grat2 command control c2 project learning purpose
thunderbird-team/ThunderBird_OpenSource,thunderbird opensource
kunzmi/ImageStackAlignator,implementation googles handheld multiframe superresolution algorithm pixel three pixel four camera
SingletonSean/wpf-tutorials,source code singletonsean wpf tutorials youtube
pastasfuture/com.hauntedpsx.render-pipelines.psx,scriptable render pipeline emulating playstation1style graphics contemporary hardware
0xthirteen/SharpMove,net project performing authenticated remote execution
Flangvik/AMSI.fail,csharp azure function http trigger generates obfuscated powershell snippets break disable amsi current process
CombatExtended-Continued/CombatExtended,combat extended mod rimworld
TanvirArjel/CleanArchitecture,repository contains implementation domaindriven design clear architecture aspnet core
keijiro/Rcam2,remote depth camera ipad pro lidar sensor
markjprice/cs9dotnet5,repository packt publishing book titled csharp nine net five modern crossplatform development mark j price
marijnz/NativeQuadtree,quadtree native collection unity dots
flipswitchingmonkey/FlexASIO_GUI,simple configuration gui flexasio
Unity-Technologies/UIToolkitUnityRoyaleRuntimeDemo,sample project introduce use ui toolkit runtime
Natsukage/PostNamazu,fourteen
UndertakerBen/PorEdgeUpd,portable edge chromium updater
whuanle/CZGL.SystemInfo,net corecpu
eliemichel/BMeshUnity,unity package make runtime procedural mesh generation flexible
martinchrzan/ColorPicker,windows systemwide color picker
Hzllaga/JsLoader,jsshellcode
m-jovanovic/event-reminder,net core web api seamless event organization configurable notification systems
akash-network/awesome-akash,awesome list akash deployment examples
GoSecure/WSuspicious,wsuspicious tool abuse insecure wsus connections privilege escalations
zcgonvh/CVE-2020-0688,exploit detect tools cve20200688
AlanMorel/MapleServer2,maplestory two emulator
mubix/solarflare,solarwinds orion account audit password dumping utility
Cysharp/UnitGenerator,csharp source generator create valueobject inspired units measure
TheAllenChou/unity-ray-marching,ray marching sandbox
CuriousDrive/BookStores,bookstores blazor server app using aspnet core backend service mssql database code samples authentication authorization datagrid database operationsand much please follow intrsuctions set machine
jorgejgnz/HPTK,hand physics toolkit
DrFlower/Unity-Obfuscator,unity
PowerShell/SecretManagement,powershell module consistent usage secrets different extension vaults
efcore/EFCore.CheckConstraints,entity framework core plugin automatically add check constraints various situations
mitchmoser/SharpShares,multithreaded csharp net assembly enumerate accessible network shares domain
hexthedev/OpenAi-Api-Unity,integration openai api unity
PacktPublishing/The-Azure-Cloud-Native-Architecture-Mapbook,azure cloud native architecture mapbook published packt
roubachof/Sharpnado.Shadows,add many custom shadows color offset blur neumorphism like xamarinforms view android ios uwp
microsoft/OSSGadget,collection tools analyzing open source packages
jorgejgnz/HPTK-Sample,sample project using hptk
AndnixSH/Il2CppDumper-GUI,simple gui version il2cppdumper
microsoft/onnxruntime-training-examples,examples using onnx runtime model training
ShinyHobo/BG3-Modders-Multitool,utility quickly generating baldurs gate three mod packs unpacked workspace among things project open source read license
EdwinVW/dapr-traffic-control,simple sample application experimenting dapr
jarjin/FinalFramework,gameplay
sergioabreu-g/active-ragdolls,active ragdolls unity
ValveSoftware/unity-xr-plugin,openvr plugin unitys xr api
silverua/slay-the-spire-map-in-unity,implementation slay spire map unity3d
ustayready/SharpHose,asynchronous password spraying tool csharp windows environments
googlevr/cardboard-xr-plugin,google cardboard xr plugin unity
ToughNutToCrack/ARWT,library allows use unity build ar web applications working bridge unity best ar libraries available web
yasirkula/UnityNativeFilePicker,native unity plugin importexport files fromto various document providers android ios
toniebox-reverse-engineering/teddy,tool dump existing files famous audio box create custom ones
jfmaes/SharpZipRunner,executes position independent shellcode encrypted zip
hai-vr/combo-gesture-expressions-av3,attach face expressions hand gestures make react avatars 30s features including contacts physbones osc
ivaylokenov/Architecture-of-ASP.NET-Core-Microservices-Applications,architecture aspnet core microservices applications
CoretechR/Keybon,adaptive macro keyboard
rxwx/chlonium,chromium cookie import export tool
EasyAbp/AbpHelper.CLI,providing code generation features help develop applications modules abp framework
miyconst/Mi899,tool set chinese x99 motherboards
Steven-Cannavan/URP_ScreenSpacePlanarReflections,simple example implementing screen space planar reflections renderfeature
Gaxil/Unity-AlembicToVAT,alembic vat vertex animation texture mini tool
NetSPI/ESC,evil sql client esc interactive net sql console client enhanced sql server discovery access data exfiltration features esc handy sql client daily tasks originally designed targeting sql servers penetration tests red team engagements intent project provide exe also sample files execution mediums like msbuild powershell
andrewlock/asp-dot-net-core-in-action-2e,source code examples aspnet core action second edition
gdquest-demos/godot-design-patterns,code design patterns godot gdscript state machines likes
Shogan/kube-chaos,chaos engineering style game seek destroy kubernetes pods twinstick shmup style
ShootMe/FallGuysStats,fall guys stats tracker
jglim/UnlockECU,free opensource ecu seedkey unlocking tool
ProfessionalCSharp/ProfessionalCSharp2021,source code professional csharp net two thousand twentyone edition updates csharp eleven net seven
Kink3d/kMotion,motion blur unitys universal render pipeline
Oaz/AvaloniaGraphControl,graph layout panel avaloniaui
dreamCirno/Hollow-Knight-Imitation,
FontStashSharp/FontStashSharp,csharp port
EasyAbp/EShop,abp application module group provides basic eshop service
imazen/imageflow-server,superfast image server speed site deploy microservice serverless embeddable
AaronKelley/DellFanManagement,suite tools managing fans many dell laptops
bats3c/EvtMute,apply filter events reported windows event logging
godotengine/godot-csharp-visualstudio,godot csharp extension visual studio
360-Linton-Lab/Telemetry,windows telemetry
Ishaan35/Unity3D-Mario-Kart-Racing-Game,3d mario kart game created unity game engine csharp kart racer supports items antigravity mode computer players underwater mode realtime shadows lighting
microsoft/Tools-for-Health-Data-Anonymization,set tools helping data fhir format anonymization
haolange/InfinityRenderPipeline,graphics research unity scriptable render pipeline
zmjack/Chinese,
ina-amagami/OverdrawForURP,scene overdraw universal render pipeline
yupingyong/kite.gateway,yarpapi
Mutagen-Modding/Synthesis,patcher pipeline framework gui run collections codebased mods create content customized load order
microsoft/winget-cli-restsource,project aims provide reference implementation creating rest based package source winget client
nukadelic/UnityEditorIcons,build unity editor icons
madskristensen/Tweakster,visual studio extension
VictorNicollet/NoAlloq,linq span without memory allocations
keijiro/NNCam,virtual background unity barracuda
roubachof/Sharpnado.CollectionView,performant list view supporting grid horizontal vertical layout drag drop reveal animations
Gameslinx/Tessellation,tessellation triplanar terrain shader planetary terrain
needle-tools/shadergraph-markdown,markdownlike syntax shadergraph properties make better material inspectors
zulubo/SpecularProbes,bake specular highlights unity reflection probes allowing baked lights cast sharp specular highlights free
sf197/GetPwd,csharpnavicatteamviewxshellsecurecrt
OnClick9927/IFramework,simple csharp framework
oskardudycz/WebApiWith.NET,samples resources design webapi net
Tycx2ry/SweetPotato_CS,sweetpotatocobaltstrike v40
KennanChan/Revit.Async,use taskbased asynchronous pattern tap run revit api code execution context
BeatTogether/BeatTogether,multiplayer private server modding community supports crossplay pc quest
checkymander/Zolom,csharp executable embedded python used reflectively run python code systems without python installed
roubachof/Sharpnado.TaskLoaderView,free isbusytrue taskloaderview ui component handles ui loading state loading error result notification removes pain async loading view models try catch async void isbusy haserrors base view models thanks brother taskloadernotifier
GhostPack/Lockless,lockless allows copying locked files
akauper/Addressables-AssetManager,preloading synchronicity pooling unity addressables
fhlsteven/CLR_via_CSharp,clr via csharp
sbski/Renoir-Mobile-Tuning,control power temperature limits amd renoir powered laptops
poerin/Stroke,mouse gestures
BinaryScary/NET-Obfuscate,obfuscate ecma cil net il assemblies evade windows defender amsi
YukiCoco/CheapSteam,cheap steam steam buff
keypax/object-pooling-in-unity-demo,demo project shows custom implementation object pooling used upcoming game pelagos rise greece
microsoft/durabletask-netherite,new engine durable functions
yahiaetman/URPCustomPostProcessingStack,customizable postprocessing renderer feature universal render pipeline
Fewes/MeshDecal,simple mesh decal component unity
Kink3d/kPooling,customizable object pooling unity
Cysharp/DFrame,distributed load testing framework net unity
mixandjam/AC-Dialogue,recreating dialogue system animal crossing
shanselman/PowerPointToOBSSceneSwitcher,net core based scene switcher connects obs changes scenes based note meta data put obsyour scene name first line notes ensure obs web sockets server running app change scene change powerpoint slides
rahulsahay19/eCommerce-App,ecommerce app using net core thirtyone angular nine
upscalebaby/generic-serializable-dictionary,minimalist dictionary unity two thousand twenty native look feel
PeyShine/Demo.MicroServer,aspdotnetcoreswaggerconsulpollyocelotidentityserver4exceptionlessapolloskywalking
Jellevermandere/4D-Raymarching,unity framework create spacial four dimentional games using raymarching
RedCursorSecurityConsulting/CVE-2020-0668,use cve20200668 perform arbitrary privileged file move operation
med0x2e/NoAmci,using dinvoke patch amsidll order bypass amsi detections triggered loading net tradecraft via assemblyload
XINCGer/LitJson4Unity,unitylitjson
keremvaris/Sennedjem,sennedjem cqrs command query responsibility segregation yaklasmn benimseyen solid prensiplerini clean architecture yontemlerini odaklayan bir yazlm gelistirme alt yapsdr rabbitmq elasticsearch vb araclara entegre olmak konusunda cok yeteneklidir
Azure/Commercial-Marketplace-SaaS-Accelerator,reference example sample code developers interested publishing transactable software aservice offers microsoft commercial marketplace
securesean/DecryptAutoLogon,command line tool extractdecrypt password stored lsa sysinternals autologon
gasgiant/Camera-Shake,camera shake unity
Anapher/Strive,open source video conferencing platform
Geektoolkit/Dynaframe3,dynamic photo video slideshow system sbc raspberry pi
am0nsec/SharpHellsGate,csharp implementation hells gate vx technique
swagkarna/Echelon-Stealer,stealer chrome v81 firefox v75 thirty different programs cryptowallets
cornflourblue/aspnet-core-3-jwt-refresh-tokens-api,aspnet core thirtyone api jwt authentication refresh tokens
chexiongsheng/puerts_unity_demo,unity demo puerts
riskydissonance/SharpCookieMonster,extracts cookies chrome
EntroPi-Games/Unity-Cloud-Shadows,animated cloud shadows asset unity
VerifyTests/DiffEngine,manages launching cleanup different tools
LeonBlade/BDTHPlugin,plugin ffxivquicklauncher help manipulating housing items
rvrsh3ll/Rubeus-Rundll32,run rubeus via rundll32
CodAffection/React-CRUD-with-Asp.Net-Core-Web-API,full stack react js crud aspnet core web
wxzz/CSharpFlink,realtime computing framework
serilog/serilog-expressions,embeddable minilanguage filtering enriching formatting serilog events ideal use json xml configuration
TonCunha/multi-microsoft-teams,launcher manage profiles open multiple instances microsoft teams desktop version compatible many accounts organizations tenants
3xpl01tc0d3r/Obfuscator,program designed obfuscate shellcode
DarkBullNull/VMP.NET-Kill,program help unpacking vmprotect
dotnet/datalab,repo experimentation exploring new ideas involving adonet ef core areas related net data
Unity-Technologies/com.unity.editoriterationprofiler,assists capturing frames profiler domain reloads unity editor compatible unity twenty thousand  one hundred ninetythree
Mr-B0b/SpaceRunner,tool enables compilation csharp program execute arbitrary powershell code without launching powershell processes use runspace
TheKingOfDuck/MatryoshkaDollTool,matryoshkadolltool
Fewes/TerrainPrettifier,small gpubased component designed aid cleaning refining satellitedem based terrains directly inside unity
GoogleCloudPlatform/functions-framework-dotnet,faas function service framework writing portable net functions
Yecats/UnityBehaviorTreeVisualizer,tool built unity draws graph representation behavior trees running scene
Ombrelin/plex-rich-presence,desktop app enable discord rich presence plex media server activity
